Ruta,Indice,Real,Imag
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,3,-0.1191568810161456,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,4,-0.08186493927264608,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,5,-0.03757647052764608,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,6,-0.0993516081695942,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,7,-0.10996273419897085,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,8,-0.08211249056369523,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,9,-0.0696413233251031,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i9_second,10,-0.05584246193789091,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,1,-0.0017898895276515776,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,2,-0.0015808156502736522,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,3,0.007849220292056387,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,4,0.01104364174737483,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,5,-0.11148821951019078,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,6,0.01169293071332778,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,7,0.019299160077897427,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,8,0.02367003693981873,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,9,0.02178512806558248,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i10_second,10,-0.0901513026438396,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,1,0.9884985842390414,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,2,0.9771908457938995,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,3,0.9757464756968536,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,4,0.9795374944931375,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,5,0.9451607106323014,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,6,0.9368547387729657,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,7,0.9407446130383799,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,8,0.9493410418236795,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,9,0.9555409453053461,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i11_second,10,0.9084219809463306,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,1,-0.05953019420733749,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,2,-0.12194256362490044,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,3,-0.11915688101614824,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,4,-0.08186493927264976,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,5,-0.03757647052764628,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,6,-0.09935160816959605,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,7,-0.10996273419897479,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,8,-0.0821124905637015,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,9,-0.06964132332511203,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i12_second,10,-0.05584246193790008,0.0
g=0.3_seed=1_state=all_zeros_steps=10_kvvec_i2_second_kvvec_i13_second,1,0.0,0.0
